,0
991,-7.730624906833208
992,-9.139662063714907
993,-10.711911654881067
994,-12.38880845674098
995,-14.056856698371515
996,-15.538950854943048
997,-16.60830364519389
998,-17.037840992333617
999,-16.67793386091639
1000,-15.524255814346239
1001,-13.728749570169414
1002,-11.54298169025624
1003,-9.232184900428239
1004,-7.008954654231648
1005,-5.007333159836342
1006,-3.2886832451107555
1007,-1.8614927164615707
1008,-0.702129619730789
1009,0.22902271635148852
1010,0.9769152591333986
1011,1.585643406932572
1012,2.0953476485912903
1013,2.5410567200677248
1014,2.952651507858992
1015,3.355402013476701
1016,3.7707234909051652
1017,4.216922219078832
1018,4.70977275569855
1019,5.262800543021209
1020,5.8871473593000285
1021,6.590884073391127
1022,7.377623690191476
1023,8.244310617968502
1024,9.178175591534076
1025,10.153129546405815
1026,11.12639732530568
1027,12.036936183990047
1028,12.807849891673406
1029,13.354908555408583
1030,13.601570363946816
1031,13.497458570080944
1032,13.033741691452077
1033,12.248328194136132
1034,11.217855946003542
1035,10.039862096128811
1036,8.812645876026302
1037,7.619706507533579
1038,6.521830959410167
1039,5.556145969215973
1040,4.739591707720224
1041,4.07422007675361
1042,3.5525257398688694
1043,3.1619039726380067
1044,2.887960976617752
1045,2.716747651997183
1046,2.6361287689878905
1047,2.6365247160266994
1048,2.71123434879148
1049,2.8564998015153122
1050,3.071424023664622
1051,3.3578051856499305
1052,3.719909035416021
1053,4.164157652126619
1054,4.698665965268789
1055,5.332500652095828
1056,6.0744666027832
1057,6.931149283960288
1058,7.903882969689737
1059,8.984343237414816
1060,10.1487144065127
1061,11.351066637832693
1062,12.517869921409119
1063,13.547292552169175
1064,14.318010496592104
1065,14.710584272870612
1066,14.63839080265058
1067,14.076737357876343
1068,13.075191913182849
1069,11.745275201805681
1070,10.229592712886936
1071,8.667666743692319
1072,7.171691001518004
1073,5.8166852201506085
1074,4.642128972030143
1075,3.659586492092268
1076,2.861784694877004
1077,2.2306109094645974
1078,1.7431203309107677
1079,1.3755557302374306
1080,1.1057533555398351
1081,0.9143829381349913
1082,0.7854165800629404
1083,0.7061312007404893
1084,0.6668614089774186
1085,0.6606476365891537
1086,0.682870382019837
1087,0.7309234715699405
1088,0.8039541174017518
1089,0.9026819723320078
1090,1.0293004930708505
1091,1.187459360125805
1092,1.3823245026808255
1093,1.6207106772955109
1094,1.9112786601045415
1095,2.2647824245956754
1096,2.694337313535778
1097,3.215651796957907
1098,3.8471124835060837
1099,4.609518359863885
1100,5.525103379093893
1101,6.615244059619233
1102,7.8959236693473285
1103,9.36971697532941
1104,11.013120946085163
1105,12.75931107159939
1106,14.48014915653202
1107,15.978158282710217
